t,torque_signal
1.315239389999999986e+01,-2.457054159360363629e-02
1.318577561000000031e+01,-6.798685413749649964e-02
1.321915732000000077e+01,2.370649167200333807e-02
1.325253902999999944e+01,-3.142179336070227147e-01
1.328592073999999990e+01,2.215091688528199598e-01
1.331930245000000035e+01,-1.211836540818060082e-01
1.335268416000000080e+01,-4.997590159643017227e-04
1.338606586999999948e+01,-1.231004420680623934e-01
1.341944757999999993e+01,2.274403920400292489e-01
1.345282929000000038e+01,-3.094719556423086715e-01
1.348621100000000084e+01,2.300401245074814444e-02
1.351959270999999951e+01,-6.920531599156251601e-02
1.355297441999999997e+01,-2.170428690569484176e-02
1.358635613000000042e+01,-5.369394079965007782e-02
1.361973784000000087e+01,-2.851963996096187892e-02
1.365311956000000038e+01,-5.054790961778107827e-02
1.368650127000000083e+01,-2.963281750703644288e-02
1.371988297999999951e+01,-5.094636215811858271e-02
1.375326468999999996e+01,-2.766705786911102805e-02
1.378664640000000041e+01,-5.513216067278051136e-02
1.382002811000000086e+01,-1.941766577102227095e-02
1.385340981999999954e+01,-7.287763540620072200e-02
1.388679152999999999e+01,2.931054826483341091e-02
1.392017324000000045e+01,-3.224543619344174550e-01
1.395355494999999912e+01,2.376184391342241464e-01
1.398693665999999958e+01,-1.660085235978609741e-01
1.402031837000000003e+01,2.411866701494641829e-01
1.405370008000000048e+01,-3.143934646990106385e-01
1.408708178999999916e+01,2.403553468077327879e-02
1.412046349999999961e+01,-6.793751750369680931e-02
1.415384521000000007e+01,-2.474322255587275282e-02
1.418722692000000052e+01,-4.893984623662499256e-02
1.422060862999999920e+01,-3.526006281182371416e-02
1.425399033999999965e+01,-4.116945687463911818e-02
1.428737205000000010e+01,-4.295750806558700646e-02
1.432075376000000055e+01,-3.089565199195756437e-02
1.435413546999999923e+01,-6.146453952825130240e-02
1.438751717999999968e+01,1.704348741023052616e-02
1.442089889000000014e+01,-3.074498772722379925e-01
1.445428060999999964e+01,2.146587601912823273e-01
1.448766232000000009e+01,-1.142653001419762782e-01
1.452104403000000055e+01,-7.477083275077907321e-03
1.455442573999999922e+01,-1.160695790906998981e-01
1.458780744999999968e+01,2.203592829305889289e-01
1.462118916000000013e+01,-3.023430306691460845e-01
1.465457087000000058e+01,1.583034901975358469e-02
1.468795257999999926e+01,-6.199289411519490894e-02
1.472133428999999971e+01,-2.894266100540512227e-02
1.475471600000000016e+01,-4.645672456163840724e-02
1.478809771000000062e+01,-3.569904468396391944e-02
1.482147941999999929e+01,-4.354570505856239504e-02
1.485486112999999975e+01,-3.619743066240155294e-02
1.488824284000000020e+01,-4.542549678840214489e-02
1.492162455000000065e+01,-3.057383300514395982e-02
1.495500625999999933e+01,-5.968208525982763440e-02
1.498838796999999978e+01,1.288891753183569328e-02
1.502176968000000024e+01,-3.002240011410993725e-01
1.505515139000000069e+01,2.028704720830130093e-01
1.508853309999999937e+01,-9.461810027558237302e-02
1.512191480999999982e+01,-4.345527678302887886e-02
1.515529652000000027e+01,-3.447253362838967328e-02
1.518867823000000072e+01,-1.042969153974090679e-01
1.522205993999999940e+01,2.155983054317254788e-01
1.525544164999999985e+01,-3.013985758597045317e-01
1.528882336999999936e+01,1.722914653588393519e-02
1.532220507999999981e+01,-6.499460915214964885e-02
1.535558679000000026e+01,-2.470023533420625389e-02
1.538896850000000072e+01,-5.183235070147213658e-02
1.542235020999999939e+01,-2.903527561618150094e-02
1.545573191999999985e+01,-5.209042062883126323e-02
1.548911363000000030e+01,-2.412668590301765559e-02
1.552249534000000075e+01,-6.604730930778215936e-02
1.555587704999999943e+01,1.924338758537717103e-02
1.558925875999999988e+01,-3.066082682872246501e-01
1.562264047000000033e+01,2.093106065412581596e-01
1.565602218000000079e+01,-1.011341042938433410e-01
1.568940388999999946e+01,-3.684447626614321958e-02
1.572278559999999992e+01,-4.119959589724776772e-02
1.575616731000000037e+01,-9.742618846147131639e-02
1.578954902000000082e+01,2.085464721795652898e-01
1.582293072999999950e+01,-2.941122800153013195e-01
1.585631243999999995e+01,9.629771943351402713e-03
1.588969415000000041e+01,-5.696231255164523055e-02
1.592307586000000086e+01,-3.335559826974245079e-02
1.595645756999999954e+01,-4.223673299485049271e-02
1.598983927999999999e+01,-4.013588513762610110e-02
1.602322098999999866e+01,-3.838700819308455553e-02
1.605660269999999912e+01,-4.284968000559159773e-02
1.608998440999999957e+01,-3.587487179160275125e-02
1.612336613000000085e+01,-4.603448720992212029e-02
1.615674784000000130e+01,-3.043878919805581562e-02
1.619012955000000176e+01,-5.821828494133386017e-02
1.622351125999999866e+01,7.566607621431452671e-03
1.625689296999999911e+01,-2.850564517370704487e-01
1.629027467999999956e+01,1.552220132276918574e-01
1.632365639000000002e+01,1.588485724414147593e-01
1.635703810000000047e+01,-2.763449549032639396e-01
1.639041981000000092e+01,1.764882715792516141e-03
1.642380152000000137e+01,-5.335595517017020090e-02
1.645718322999999828e+01,-3.464524257214136177e-02
1.649056493999999873e+01,-4.253141509332962478e-02
1.652394664999999918e+01,-3.845231371221089628e-02
1.655732835999999963e+01,-4.162343524535289108e-02
1.659071007000000009e+01,-3.748726272638218393e-02
1.662409178000000054e+01,-4.465609511288855943e-02
1.665747349000000099e+01,-3.087350163081623022e-02
1.669085520000000145e+01,-5.985562359162178991e-02
1.672423690999999835e+01,1.360231486693656150e-02
1.675761861999999880e+01,-3.016399669497704106e-01
1.679100032999999925e+01,2.053312857680243131e-01
1.682438203999999971e+01,-9.886262577698767817e-02
1.685776375000000016e+01,-3.564991549375371577e-02
1.689114546000000061e+01,-5.100534539061565842e-02
1.692452717999999834e+01,-5.821238275556715747e-02
1.695790888999999879e+01,-2.821742809158164431e-02
1.699129059999999924e+01,-1.070161280423116285e-01
1.702467230999999970e+01,2.164221942836118684e-01
1.705805402000000015e+01,-3.009310976802103132e-01
1.709143573000000060e+01,1.564163901300633444e-02
1.712481744000000106e+01,-6.219816884494297482e-02
1.715819915000000151e+01,-2.904813210813062679e-02
1.719158085999999841e+01,-4.521183084889903586e-02
1.722496256999999886e+01,-3.938797019081487216e-02
1.725834427999999932e+01,-3.480256529565780438e-02
1.729172598999999977e+01,-5.664602186030402720e-02
1.732510770000000022e+01,1.069245193252178414e-02
1.735848941000000067e+01,-2.986536758226954746e-01
1.739187112000000113e+01,2.017937883767125240e-01
1.742525283000000158e+01,-9.395358041348791933e-02
1.745863453999999848e+01,-4.375387683838938280e-02
1.749201624999999893e+01,-3.452084670398858357e-02
1.752539795999999939e+01,-1.038964694669357314e-01
1.755877966999999984e+01,2.148152895847753596e-01
1.759216138000000029e+01,-3.001720608441206806e-01
1.762554309000000075e+01,1.545648154317428094e-02
1.765892480000000120e+01,-6.251029609011485300e-02
1.769230651000000165e+01,-2.816415233508096777e-02
1.772568821999999855e+01,-4.694091035591920619e-02
1.775906993999999983e+01,-3.614510312322935515e-02
1.779245165000000028e+01,-4.124906801335470607e-02
1.782583336000000074e+01,-4.195228550085505076e-02
1.785921507000000119e+01,-3.288486630530353116e-02
1.789259678000000164e+01,-5.832030987207514894e-02
1.792597848999999854e+01,1.240871339976554882e-02
1.795936019999999900e+01,-3.007019280678057127e-01
1.799274190999999945e+01,2.045927429036588918e-01
1.802612361999999990e+01,-9.828757881221734938e-02
1.805950533000000036e+01,-3.608290599972250462e-02
1.809288704000000081e+01,-5.070484496599803742e-02
1.812626875000000126e+01,-5.837865240457267013e-02
1.815965046000000171e+01,-2.819998154906019211e-02
1.819303216999999862e+01,-1.068529288059518467e-01
1.822641387999999907e+01,2.160201472839710923e-01
1.825979558999999952e+01,-3.001871857301338098e-01
1.829317729999999997e+01,1.436945071420457631e-02
1.832655901000000043e+01,-6.004078801089605955e-02
1.835994072000000088e+01,-3.283756441087200967e-02
1.839332243000000133e+01,-3.800999911153525590e-02
1.842670413999999823e+01,-5.516916078014057201e-02
1.846008584999999869e+01,1.038243505629626515e-02
1.849346755999999914e+01,-2.994194019978778654e-01
1.852684926999999959e+01,2.039106309995096789e-01
1.856023098000000005e+01,-9.823662170514385616e-02
1.859361270000000133e+01,-3.525888677617967926e-02
1.862699440999999823e+01,-5.305391031286533360e-02
1.866037611999999868e+01,-5.282240534744120364e-02
1.869375782999999913e+01,-4.201471212171800640e-02
1.872713953999999958e+01,-6.410791404275448246e-02
1.876052125000000004e+01,-2.362036396517252709e-02
