time (sec),theta (rad)
24.3686486,-0.000723154
24.40203031,-0.000723154
24.43541202,-0.000723154
24.46879373,-0.000901821
24.50217544,-0.000901821
24.53555715,-0.000901821
24.56893886,-0.000901821
24.60232057,-0.000901821
24.63570228,-0.000901821
24.66908399,-0.000901821
24.7024657,-0.000901821
24.73584741,-0.000901821
24.76922912,-0.000901821
24.80261083,-0.000901821
24.83599254,-0.000723154
24.86937425,-0.000723154
24.90275596,-0.000723154
24.93613767,-0.000723154
24.96951938,-0.000723154
25.00290109,-0.000723154
25.0362828,-0.000723154
25.06966451,-0.000723154
25.10304622,-0.000901821
25.13642793,-0.000901821
25.16980964,-0.000901821
25.20319136,-0.000901821
25.23657307,-0.000901821
25.26995478,-0.000901821
25.30333649,-0.000901821
25.3367182,-0.000901821
25.37009991,-0.000901821
25.40348162,-0.000901821
25.43686333,-0.000901821
25.47024504,-0.000723154
25.50362675,-0.000723154
25.53700846,-0.000723154
25.57039017,-0.000901821
25.60377188,-0.000901821
25.63715359,-0.000901821
25.6705353,-0.000901821
25.70391701,-0.000901821
25.73729872,-0.000901821
25.77068043,-0.000901821
25.80406214,-0.000901821
25.83744385,-0.000901821
25.87082556,-0.000901821
25.90420727,-0.000723154
25.93758898,-0.000723154
25.97097069,-0.000723154
26.00435241,-0.000723154
26.03773412,-0.000723154
26.07111583,-0.000723154
26.10449754,-0.000723154
26.13787925,-0.000723154
26.17126096,-0.000723154
26.20464267,-0.000723154
26.23802438,-0.000723154
26.27140609,-0.000901821
26.3047878,-0.000901821
26.33816951,-0.000901821
26.37155122,-0.000901821
26.40493293,-0.000901821
26.43831464,-0.000901821
26.47169635,-0.000901821
26.50507806,-0.000901821
26.53845977,-0.000901821
26.57184148,-0.000901821
26.60522319,-0.000723154
26.6386049,-0.000723154
26.67198661,-0.000723154
26.70536832,-0.000723154
26.73875003,-0.000723154
26.77213174,-0.000723154
26.80551345,-0.000723154
26.83889517,-0.000723154
26.87227688,-0.000901821
26.90565859,-0.000901821
26.9390403,-0.000901821
26.97242201,-0.000901821
27.00580372,-0.000901821
27.03918543,-0.000901821
27.07256714,-0.000901821
27.10594885,-0.000901821
27.13933056,-0.000723154
27.17271227,-0.000723154
27.20609398,-0.000723154
27.23947569,-0.000723154
27.2728574,-0.000723154
27.30623911,-0.000723154
27.33962082,-0.000723154
27.37300253,-0.000723154
27.40638424,-0.000723154
27.43976595,-0.000901821
27.47314766,-0.000901821
27.50652937,-0.000901821
27.53991108,-0.000901821
27.57329279,-0.000901821
27.6066745,-0.000901821
27.64005621,-0.000901821
27.67343793,-0.000901821
27.70681964,-0.000901821
27.74020135,-0.000901821
27.77358306,-0.000723154
27.80696477,-0.000723154
27.84034648,-0.000723154
27.87372819,-0.000723154
27.9071099,-0.000723154
27.94049161,-0.000723154
27.97387332,-0.000723154
28.00725503,-0.000723154
28.04063674,-0.000723154
28.07401845,-0.000723154
28.10740016,-0.000901821
28.14078187,-0.000901821
28.17416358,-0.000901821
28.20754529,-0.000901821
28.240927,-0.000901821
28.27430871,-0.000723154
28.30769042,-0.000723154
28.34107213,-0.000723154
28.37445384,-0.000723154
28.40783555,-0.000723154
28.44121726,-0.000723154
28.47459897,-0.000723154
28.50798069,-0.000723154
28.5413624,-0.000723154
28.57474411,-0.000723154
28.60812582,-0.000723154
28.64150753,-0.000901821
28.67488924,-0.000901821
28.70827095,-0.000901821
28.74165266,-0.000901821
28.77503437,-0.000901821
28.80841608,-0.000901821
28.84179779,-0.000901821
28.8751795,-0.000901821
28.90856121,-0.000901821
28.94194292,-0.000901821
28.97532463,-0.000723154
29.00870634,-0.000723154
29.04208805,-0.000723154
29.07546976,-0.000723154
29.10885147,-0.000723154
29.14223318,-0.000723154
29.17561489,-0.000723154
29.2089966,-0.000723154
29.24237831,-0.000901821
29.27576002,-0.000901821
29.30914174,-0.000901821
29.34252345,-0.000901821
29.37590516,-0.000901821
29.40928687,-0.000901821
29.44266858,-0.000901821
29.47605029,-0.000901821
29.509432,-0.000901821
29.54281371,-0.000901821
29.57619542,-0.000901821
29.60957713,-0.000901821
29.64295884,-0.000901821
29.67634055,-0.000901821
29.70972226,-0.000901821
29.74310397,-0.000901821
29.77648568,-0.000901821
29.80986739,-0.000901821
29.8432491,-0.000901821
29.87663081,-0.000901821
29.91001252,-0.000901821
29.94339423,-0.000723154
29.97677594,-0.000723154
30.01015765,-0.000723154
30.04353936,-0.000723154
30.07692107,-0.000723154
30.11030278,-0.000544528
30.1436845,-0.000544528
30.17706621,-0.000544528
30.21044792,-0.000544528
30.24382963,-0.000544528
30.27721134,-0.000723154
30.31059305,-0.000723154
30.34397476,-0.000723154
30.37735647,-0.000723154
30.41073818,-0.000723154
30.44411989,-0.000901821
30.4775016,-0.000901821
30.51088331,-0.000901821
30.54426502,-0.000901821
30.57764673,-0.000901821
30.61102844,-0.000901821
30.64441015,-0.000901821
30.67779186,-0.000901821
30.71117357,-0.000901821
30.74455528,-0.000901821
30.77793699,-0.000723154
30.8113187,-0.000723154
30.84470041,-0.000723154
30.87808212,-0.000723154
30.91146383,-0.000723154
30.94484554,-0.000723154
30.97822726,-0.000723154
31.01160897,-0.000723154
31.04499068,-0.000723154
31.07837239,-0.000723154
